Accident_ID,Date_Time,Location,Severity,Weather_Condition,Road_Condition,Vehicle_Type,Driver_Age,Casualties_Count,Cause_of_Accident
286,8/7/2023 14:07,Kolkata,Moderate,Windy,Potholes,Bike,33,2,Bad Road Condition
287,4/29/2024 23:04,Mumbai,Moderate,Clear,Wet,Auto Rickshaw,31,1,Weather
288,8/16/2024 7:09,Ahmedabad,Severe,Clear,Icy,Bike,25,4,Brake Failure
289,5/26/2023 5:50,Chennai,Severe,Foggy,Potholes,Auto Rickshaw,46,2,Weather
290,5/24/2024 16:15,Pune,Severe,Windy,Under Construction,Car,63,4,Speeding
291,9/4/2023 0:58,Bangalore,Minor,Clear,Under Construction,Bus,48,3,Drunk Driving
292,5/16/2023 8:10,Ahmedabad,Moderate,Snowy,Under Construction,Bus,39,0,Red Light Violation
293,10/16/2023 2:42,Hyderabad,Moderate,Snowy,Potholes,Auto Rickshaw,31,1,Brake Failure
294,12/4/2023 23:08,Ahmedabad,Minor,Windy,Under Construction,Bus,59,0,Brake Failure
295,7/30/2023 8:59,Kolkata,Minor,Rainy,Wet,Truck,62,1,Overtaking
296,1/29/2024 23:26,Kolkata,Moderate,Clear,Icy,Truck,45,1,Drunk Driving
297,8/23/2023 12:25,Chennai,Moderate,Rainy,Wet,Bus,34,5,Overtaking
298,4/7/2023 13:08,Delhi,Moderate,Clear,Under Construction,Bicycle,53,5,Weather
299,7/7/2024 8:59,Mumbai,Moderate,Windy,Potholes,Car,42,4,Bad Road Condition
300,8/9/2024 20:03,Bangalore,Minor,Rainy,Wet,Bike,49,4,Weather
301,9/29/2023 16:05,Mumbai,Severe,Windy,Icy,Auto Rickshaw,42,0,Brake Failure
302,9/21/2023 18:24,Hyderabad,Minor,Rainy,Potholes,Auto Rickshaw,55,2,Red Light Violation
303,7/4/2023 11:37,Pune,Moderate,Rainy,Dry,Truck,44,1,Red Light Violation
304,12/24/2023 5:40,Kolkata,Minor,Windy,Under Construction,Auto Rickshaw,35,5,Weather
305,7/30/2024 0:10,Chennai,Severe,Rainy,Under Construction,Bike,29,2,Bad Road Condition
306,2/26/2024 18:50,Delhi,Minor,Rainy,Potholes,Bicycle,56,5,Overtaking
307,1/13/2023 22:48,Bangalore,Severe,Rainy,Dry,Bicycle,59,4,Bad Road Condition
308,6/11/2023 3:15,Chennai,Severe,Snowy,Under Construction,Truck,58,4,Weather
309,9/23/2023 14:27,Ahmedabad,Minor,Clear,Potholes,Bike,48,1,Speeding
310,7/9/2023 7:26,Kolkata,Moderate,Windy,Dry,Bike,62,4,Overtaking
311,10/7/2023 1:03,Mumbai,Minor,Clear,Wet,Truck,27,2,Drunk Driving
312,10/23/2024 22:35,Mumbai,Severe,Foggy,Icy,Truck,63,0,Bad Road Condition
313,10/6/2024 18:13,Bangalore,Severe,Foggy,Potholes,Auto Rickshaw,57,5,Brake Failure
314,8/22/2024 15:47,Bangalore,Minor,Windy,Dry,Car,34,1,Red Light Violation
315,8/24/2023 19:06,Bangalore,Minor,Snowy,Potholes,Bike,20,2,Bad Road Condition
316,11/12/2023 3:48,Hyderabad,Minor,Clear,Dry,Bus,21,0,Brake Failure
317,12/14/2024 13:04,Pune,Minor,Clear,Potholes,Auto Rickshaw,20,1,Speeding
318,6/10/2023 14:04,Bangalore,Moderate,Clear,Dry,Auto Rickshaw,23,3,Weather
319,6/20/2024 9:26,Mumbai,Severe,Clear,Dry,Car,29,4,Red Light Violation
320,4/16/2024 2:07,Hyderabad,Severe,Rainy,Under Construction,Truck,46,3,Bad Road Condition
321,2/9/2023 17:32,Bangalore,Moderate,Foggy,Potholes,Bike,59,1,Bad Road Condition
322,10/9/2023 12:59,Kolkata,Moderate,Foggy,Dry,Truck,62,1,Brake Failure
323,10/5/2023 10:17,Mumbai,Minor,Windy,Under Construction,Bicycle,25,3,Speeding
324,11/17/2024 22:16,Kolkata,Moderate,Snowy,Under Construction,Bus,63,5,Drunk Driving
325,7/3/2024 18:52,Chennai,Moderate,Foggy,Icy,Bike,29,4,Weather
326,4/1/2024 6:38,Hyderabad,Moderate,Foggy,Under Construction,Bicycle,52,5,Red Light Violation
327,1/31/2024 0:55,Bangalore,Minor,Rainy,Dry,Car,19,0,Speeding
328,3/31/2024 15:01,Pune,Minor,Windy,Wet,Bus,59,4,Weather
329,6/16/2023 19:28,Delhi,Moderate,Rainy,Potholes,Bike,46,1,Overtaking
330,8/15/2023 8:10,Mumbai,Moderate,Clear,Potholes,Bus,53,3,Weather
331,5/19/2023 1:36,Mumbai,Minor,Clear,Wet,Bicycle,47,2,Overtaking
332,1/6/2023 13:21,Hyderabad,Moderate,Foggy,Under Construction,Truck,54,0,Brake Failure
333,2/14/2023 0:21,Pune,Severe,Foggy,Dry,Bike,24,5,Speeding
334,8/7/2023 17:55,Hyderabad,Moderate,Rainy,Dry,Bike,56,0,Red Light Violation
335,4/25/2024 6:53,Chennai,Minor,Snowy,Wet,Bus,19,2,Red Light Violation
336,8/21/2023 13:43,Pune,Minor,Windy,Potholes,Truck,59,4,Brake Failure
337,4/13/2023 16:05,Bangalore,Severe,Foggy,Under Construction,Bicycle,29,1,Red Light Violation
338,10/19/2023 12:34,Bangalore,Minor,Snowy,Dry,Bicycle,55,5,Weather
339,5/25/2024 22:44,Kolkata,Severe,Snowy,Wet,Bike,57,0,Drunk Driving
340,7/15/2024 12:14,Ahmedabad,Minor,Foggy,Under Construction,Car,19,2,Brake Failure
341,3/27/2023 5:48,Hyderabad,Minor,Rainy,Under Construction,Car,51,2,Red Light Violation
342,11/15/2024 11:37,Mumbai,Moderate,Windy,Potholes,Auto Rickshaw,25,5,Red Light Violation
343,7/26/2023 8:59,Hyderabad,Minor,Rainy,Icy,Bike,46,3,Red Light Violation
344,2/9/2024 13:32,Delhi,Severe,Rainy,Potholes,Auto Rickshaw,50,5,Drunk Driving
345,3/30/2024 11:56,Hyderabad,Minor,Snowy,Wet,Bus,61,4,Brake Failure
346,12/25/2024 9:55,Hyderabad,Moderate,Clear,Icy,Bicycle,42,4,Bad Road Condition
347,10/14/2024 4:34,Hyderabad,Minor,Windy,Icy,Bus,34,5,Weather
348,3/12/2023 4:54,Delhi,Severe,Snowy,Wet,Bus,26,1,Bad Road Condition
349,3/5/2023 19:38,Kolkata,Moderate,Foggy,Dry,Car,54,0,Bad Road Condition
350,4/8/2023 8:29,Kolkata,Severe,Windy,Under Construction,Bicycle,36,1,Drunk Driving
351,6/9/2024 20:00,Hyderabad,Severe,Snowy,Potholes,Bus,47,3,Speeding
352,8/31/2024 12:23,Hyderabad,Severe,Snowy,Wet,Auto Rickshaw,35,3,Red Light Violation
353,9/3/2023 14:05,Delhi,Severe,Snowy,Wet,Bike,60,0,Drunk Driving
354,9/9/2023 9:43,Ahmedabad,Moderate,Foggy,Icy,Bicycle,25,2,Drunk Driving
355,7/9/2023 5:18,Mumbai,Severe,Windy,Potholes,Bicycle,37,2,Brake Failure
356,12/31/2023 22:05,Ahmedabad,Minor,Rainy,Wet,Bicycle,40,1,Speeding
357,1/9/2024 23:00,Mumbai,Minor,Snowy,Potholes,Bus,43,4,Weather
358,6/30/2023 4:15,Delhi,Severe,Windy,Under Construction,Bicycle,56,1,Brake Failure
359,1/28/2023 8:23,Ahmedabad,Minor,Snowy,Potholes,Car,18,2,Drunk Driving
360,12/28/2023 20:48,Pune,Minor,Foggy,Dry,Car,37,5,Overtaking
361,6/30/2024 14:39,Delhi,Minor,Clear,Dry,Bicycle,44,5,Brake Failure
362,12/21/2023 8:32,Mumbai,Moderate,Foggy,Dry,Car,52,4,Bad Road Condition
363,7/19/2023 18:49,Pune,Moderate,Clear,Under Construction,Auto Rickshaw,61,4,Speeding
364,9/19/2023 10:08,Kolkata,Minor,Foggy,Potholes,Truck,32,4,Speeding
365,7/28/2023 16:32,Hyderabad,Moderate,Foggy,Under Construction,Bus,61,2,Weather
366,3/19/2024 0:40,Delhi,Minor,Windy,Potholes,Car,27,3,Brake Failure
367,8/13/2023 4:25,Ahmedabad,Severe,Clear,Potholes,Auto Rickshaw,50,4,Brake Failure
368,4/18/2023 23:18,Bangalore,Minor,Clear,Potholes,Truck,40,3,Red Light Violation
369,8/3/2023 23:01,Mumbai,Severe,Rainy,Potholes,Truck,34,4,Bad Road Condition
370,6/16/2023 7:31,Ahmedabad,Moderate,Clear,Potholes,Bicycle,52,5,Speeding
371,1/19/2024 23:02,Kolkata,Minor,Foggy,Potholes,Truck,58,5,Weather
372,6/13/2024 18:09,Ahmedabad,Minor,Windy,Icy,Auto Rickshaw,34,4,Speeding
373,11/22/2024 0:25,Kolkata,Severe,Clear,Icy,Bike,18,1,Drunk Driving
374,9/4/2024 4:28,Mumbai,Minor,Foggy,Potholes,Bicycle,61,3,Drunk Driving
375,11/13/2023 22:04,Delhi,Minor,Clear,Icy,Bicycle,51,5,Overtaking
376,11/22/2023 10:35,Hyderabad,Minor,Rainy,Dry,Bike,47,4,Bad Road Condition
377,1/11/2024 16:32,Kolkata,Severe,Rainy,Dry,Car,18,2,Brake Failure
378,9/16/2024 11:16,Kolkata,Moderate,Snowy,Potholes,Bike,18,0,Drunk Driving
379,5/8/2024 1:36,Mumbai,Minor,Snowy,Potholes,Auto Rickshaw,62,5,Bad Road Condition
380,5/2/2023 18:56,Ahmedabad,Severe,Rainy,Under Construction,Truck,29,0,Brake Failure
381,7/11/2023 19:49,Chennai,Severe,Windy,Under Construction,Auto Rickshaw,24,0,Bad Road Condition
382,12/9/2023 21:07,Hyderabad,Minor,Rainy,Icy,Bus,23,4,Weather
383,8/26/2024 11:57,Chennai,Minor,Snowy,Wet,Bicycle,49,4,Weather
384,5/18/2024 5:19,Hyderabad,Moderate,Rainy,Wet,Bike,46,3,Brake Failure
385,2/9/2024 4:40,Ahmedabad,Severe,Rainy,Wet,Bicycle,60,5,Red Light Violation
386,5/6/2024 10:32,Ahmedabad,Minor,Snowy,Wet,Bicycle,20,2,Brake Failure
387,10/21/2023 9:02,Mumbai,Severe,Windy,Icy,Bus,56,2,Bad Road Condition
388,3/8/2024 4:23,Ahmedabad,Severe,Clear,Dry,Bicycle,45,0,Speeding
389,11/26/2023 6:18,Pune,Minor,Foggy,Under Construction,Bike,42,4,Red Light Violation
390,8/5/2024 2:08,Chennai,Moderate,Foggy,Icy,Bus,55,5,Weather
391,9/10/2023 11:44,Hyderabad,Severe,Rainy,Dry,Bike,50,4,Weather
392,6/10/2024 17:29,Chennai,Severe,Clear,Icy,Bicycle,65,2,Brake Failure
393,6/3/2024 14:21,Chennai,Minor,Snowy,Under Construction,Bus,58,3,Overtaking
394,7/10/2024 12:00,Ahmedabad,Moderate,Clear,Wet,Bike,57,4,Bad Road Condition
395,12/19/2023 1:34,Bangalore,Minor,Snowy,Icy,Bike,33,2,Brake Failure
396,6/4/2024 19:26,Chennai,Severe,Foggy,Potholes,Bicycle,21,0,Overtaking
397,3/2/2024 13:42,Delhi,Minor,Foggy,Dry,Bicycle,64,1,Bad Road Condition
398,8/27/2024 15:05,Bangalore,Moderate,Rainy,Wet,Bike,65,2,Overtaking
399,9/12/2023 1:10,Hyderabad,Moderate,Foggy,Potholes,Bike,52,5,Weather
400,3/30/2023 2:17,Kolkata,Severe,Rainy,Wet,Bus,62,2,Red Light Violation
401,2/19/2024 9:27,Chennai,Moderate,Clear,Wet,Car,35,5,Bad Road Condition
402,7/2/2023 20:19,Delhi,Severe,Windy,Wet,Auto Rickshaw,26,1,Red Light Violation
403,9/12/2023 9:27,Hyderabad,Moderate,Foggy,Under Construction,Bike,58,0,Drunk Driving
404,3/10/2024 4:38,Hyderabad,Minor,Rainy,Icy,Bus,19,5,Bad Road Condition
405,3/25/2023 18:11,Ahmedabad,Severe,Rainy,Icy,Bike,46,0,Red Light Violation
406,1/23/2023 9:05,Pune,Moderate,Windy,Potholes,Auto Rickshaw,19,1,Brake Failure
407,7/28/2024 16:00,Chennai,Minor,Rainy,Icy,Bike,26,2,Brake Failure
408,4/3/2023 23:02,Ahmedabad,Severe,Foggy,Icy,Bicycle,24,2,Drunk Driving
409,5/23/2023 5:45,Hyderabad,Severe,Clear,Wet,Truck,63,2,Speeding
410,7/2/2024 4:27,Hyderabad,Minor,Clear,Icy,Truck,48,0,Red Light Violation
411,4/7/2024 23:05,Chennai,Minor,Clear,Wet,Bicycle,52,0,Speeding
412,7/1/2023 13:44,Kolkata,Severe,Snowy,Potholes,Bicycle,26,0,Drunk Driving
413,8/11/2024 13:03,Bangalore,Moderate,Snowy,Icy,Auto Rickshaw,53,5,Overtaking
414,1/3/2023 17:53,Ahmedabad,Minor,Foggy,Wet,Truck,44,1,Overtaking
415,12/16/2023 7:50,Ahmedabad,Minor,Snowy,Dry,Truck,33,3,Weather
416,1/26/2024 2:04,Bangalore,Moderate,Clear,Icy,Bicycle,37,1,Bad Road Condition
417,3/13/2023 13:05,Kolkata,Minor,Snowy,Wet,Auto Rickshaw,39,5,Speeding
418,12/10/2023 22:37,Chennai,Severe,Foggy,Icy,Bicycle,27,0,Red Light Violation
419,11/26/2023 17:58,Hyderabad,Moderate,Clear,Dry,Bus,25,3,Speeding
420,8/6/2023 16:22,Kolkata,Minor,Foggy,Potholes,Bus,54,0,Drunk Driving
421,1/1/2023 7:32,Bangalore,Minor,Clear,Wet,Bus,56,5,Weather
422,10/21/2024 21:08,Bangalore,Moderate,Snowy,Icy,Bicycle,61,4,Speeding
423,12/22/2024 21:49,Mumbai,Severe,Rainy,Potholes,Truck,54,4,Weather
424,2/10/2024 2:00,Hyderabad,Severe,Rainy,Under Construction,Bicycle,60,3,Speeding
425,2/26/2024 19:13,Bangalore,Minor,Foggy,Potholes,Bus,38,3,Weather
426,9/30/2023 7:16,Ahmedabad,Minor,Foggy,Potholes,Bicycle,21,5,Weather
427,6/20/2023 20:14,Pune,Minor,Clear,Under Construction,Bike,18,2,Overtaking
428,3/30/2023 7:09,Ahmedabad,Moderate,Clear,Dry,Auto Rickshaw,38,2,Red Light Violation
429,3/24/2024 0:59,Delhi,Minor,Foggy,Potholes,Car,53,4,Drunk Driving
430,5/22/2023 18:44,Chennai,Minor,Windy,Icy,Car,56,0,Overtaking
431,7/17/2024 2:22,Hyderabad,Severe,Clear,Potholes,Bus,22,0,Weather
432,5/20/2023 17:37,Delhi,Severe,Clear,Icy,Bike,40,3,Red Light Violation
433,6/9/2024 15:48,Ahmedabad,Moderate,Clear,Potholes,Truck,57,4,Drunk Driving
434,10/20/2024 10:45,Pune,Severe,Clear,Potholes,Bicycle,54,2,Weather
435,3/16/2023 2:19,Bangalore,Minor,Snowy,Under Construction,Car,18,0,Weather
436,9/20/2024 8:07,Hyderabad,Moderate,Clear,Under Construction,Car,30,0,Red Light Violation
437,1/21/2023 12:03,Kolkata,Minor,Foggy,Potholes,Bus,23,1,Overtaking
438,1/12/2024 9:43,Pune,Moderate,Rainy,Dry,Bus,64,0,Red Light Violation
439,3/17/2024 10:04,Kolkata,Minor,Rainy,Icy,Car,29,0,Bad Road Condition
440,3/5/2023 3:00,Ahmedabad,Moderate,Windy,Wet,Truck,52,4,Weather
441,10/31/2023 1:20,Bangalore,Minor,Clear,Icy,Auto Rickshaw,29,3,Overtaking
442,11/8/2023 19:52,Chennai,Moderate,Clear,Wet,Bus,45,2,Red Light Violation
443,1/16/2024 3:47,Delhi,Minor,Windy,Wet,Bus,23,0,Overtaking
444,8/16/2023 10:07,Kolkata,Moderate,Windy,Dry,Bus,23,3,Speeding
445,8/24/2023 6:32,Mumbai,Severe,Foggy,Wet,Bicycle,56,1,Drunk Driving
446,2/2/2024 20:21,Mumbai,Severe,Windy,Icy,Bike,29,0,Drunk Driving
447,10/9/2024 12:04,Ahmedabad,Moderate,Clear,Wet,Car,20,0,Overtaking
448,8/20/2023 6:17,Mumbai,Minor,Rainy,Potholes,Car,65,1,Weather
449,10/24/2023 22:51,Kolkata,Severe,Foggy,Wet,Car,21,0,Brake Failure
450,5/16/2023 10:07,Kolkata,Moderate,Clear,Potholes,Bike,25,0,Weather
451,6/23/2024 0:53,Delhi,Severe,Windy,Icy,Bus,25,3,Bad Road Condition
452,9/8/2024 5:41,Hyderabad,Minor,Rainy,Wet,Auto Rickshaw,55,2,Weather
453,2/6/2024 18:11,Chennai,Minor,Rainy,Potholes,Bicycle,55,1,Overtaking
454,5/7/2024 17:43,Hyderabad,Severe,Rainy,Under Construction,Bicycle,63,5,Drunk Driving
455,8/11/2023 11:54,Delhi,Moderate,Foggy,Icy,Auto Rickshaw,50,5,Speeding
456,6/18/2023 17:26,Delhi,Minor,Snowy,Wet,Bike,53,4,Bad Road Condition
457,5/10/2024 4:02,Ahmedabad,Severe,Snowy,Under Construction,Bike,58,5,Red Light Violation
458,1/6/2024 20:33,Ahmedabad,Moderate,Rainy,Wet,Bus,21,3,Speeding
459,4/19/2024 2:22,Pune,Moderate,Windy,Under Construction,Bicycle,31,2,Red Light Violation
460,6/24/2023 19:56,Chennai,Severe,Windy,Icy,Truck,55,2,Red Light Violation
461,4/29/2023 2:58,Chennai,Severe,Snowy,Potholes,Bike,37,3,Drunk Driving
462,12/5/2024 17:12,Mumbai,Minor,Rainy,Potholes,Bicycle,32,1,Drunk Driving
463,2/8/2024 7:03,Pune,Severe,Windy,Potholes,Car,49,5,Speeding
464,7/17/2023 13:06,Ahmedabad,Minor,Rainy,Potholes,Truck,55,1,Speeding
465,8/8/2023 21:06,Pune,Minor,Clear,Dry,Truck,25,3,Red Light Violation
466,12/28/2023 4:46,Mumbai,Moderate,Clear,Under Construction,Bicycle,21,1,Bad Road Condition
467,3/9/2023 1:50,Pune,Severe,Foggy,Wet,Car,56,0,Red Light Violation
468,12/15/2023 1:22,Delhi,Severe,Windy,Wet,Truck,52,2,Bad Road Condition
469,3/8/2023 18:16,Mumbai,Minor,Clear,Wet,Bus,57,4,Red Light Violation
470,7/19/2024 23:29,Mumbai,Moderate,Foggy,Wet,Truck,43,2,Red Light Violation
471,10/17/2023 7:25,Chennai,Moderate,Rainy,Icy,Bike,52,2,Speeding
472,3/30/2023 6:15,Kolkata,Moderate,Windy,Under Construction,Car,39,0,Overtaking
473,2/12/2024 9:50,Kolkata,Severe,Windy,Under Construction,Auto Rickshaw,37,5,Bad Road Condition
474,7/26/2024 19:10,Pune,Severe,Foggy,Under Construction,Bike,64,2,Bad Road Condition
475,2/1/2023 1:57,Ahmedabad,Moderate,Clear,Under Construction,Truck,20,4,Overtaking
476,1/16/2024 11:16,Delhi,Minor,Windy,Under Construction,Car,47,5,Red Light Violation
477,9/21/2023 9:43,Mumbai,Moderate,Snowy,Dry,Auto Rickshaw,62,4,Red Light Violation
478,12/24/2024 18:26,Hyderabad,Minor,Snowy,Wet,Bike,62,3,Overtaking
479,6/30/2024 11:27,Delhi,Moderate,Snowy,Under Construction,Bicycle,48,3,Weather
480,8/4/2024 5:13,Hyderabad,Moderate,Foggy,Wet,Truck,53,0,Brake Failure
481,10/23/2024 13:39,Pune,Severe,Clear,Potholes,Bicycle,51,2,Drunk Driving
482,5/9/2024 1:39,Bangalore,Minor,Rainy,Wet,Bus,26,2,Speeding
483,4/30/2024 4:09,Chennai,Minor,Snowy,Icy,Auto Rickshaw,54,5,Weather
484,4/23/2024 7:02,Mumbai,Minor,Snowy,Dry,Truck,21,1,Brake Failure
485,1/31/2024 1:40,Chennai,Minor,Foggy,Icy,Car,38,0,Brake Failure
486,11/27/2024 22:22,Ahmedabad,Moderate,Snowy,Dry,Auto Rickshaw,30,3,Brake Failure
487,3/28/2023 20:24,Chennai,Moderate,Snowy,Under Construction,Auto Rickshaw,21,5,Weather
488,11/3/2024 19:42,Kolkata,Moderate,Clear,Potholes,Car,21,2,Bad Road Condition
489,6/3/2023 8:57,Chennai,Moderate,Clear,Dry,Bike,51,4,Weather
490,4/13/2024 15:27,Mumbai,Severe,Clear,Wet,Bicycle,41,1,Overtaking
491,5/12/2024 3:09,Hyderabad,Moderate,Snowy,Dry,Auto Rickshaw,26,5,Drunk Driving
492,3/1/2024 19:23,Mumbai,Moderate,Clear,Potholes,Truck,51,2,Bad Road Condition
493,10/16/2024 8:55,Delhi,Minor,Snowy,Wet,Bicycle,64,5,Speeding
494,3/23/2024 16:06,Ahmedabad,Moderate,Rainy,Icy,Auto Rickshaw,34,3,Bad Road Condition
495,4/9/2024 19:35,Delhi,Minor,Snowy,Dry,Auto Rickshaw,53,3,Speeding
496,2/15/2024 20:30,Bangalore,Moderate,Windy,Potholes,Car,30,0,Drunk Driving
497,11/28/2023 5:23,Mumbai,Severe,Rainy,Under Construction,Bus,35,2,Drunk Driving
498,12/28/2024 18:35,Ahmedabad,Moderate,Rainy,Wet,Auto Rickshaw,46,3,Speeding
499,4/3/2023 12:38,Delhi,Severe,Rainy,Icy,Auto Rickshaw,35,1,Speeding
500,10/1/2024 17:25,Bangalore,Minor,Rainy,Icy,Bus,24,5,Weather
501,10/14/2023 20:13,Delhi,Severe,Windy,Wet,Car,54,4,Bad Road Condition
502,6/10/2024 11:20,Pune,Moderate,Snowy,Wet,Car,35,0,Red Light Violation
503,11/24/2023 4:49,Mumbai,Severe,Windy,Potholes,Bus,57,1,Bad Road Condition
504,4/9/2023 11:47,Hyderabad,Severe,Foggy,Potholes,Bicycle,42,0,Red Light Violation
505,10/25/2024 15:17,Ahmedabad,Moderate,Rainy,Dry,Auto Rickshaw,45,5,Overtaking
506,10/18/2023 15:25,Mumbai,Minor,Snowy,Dry,Truck,45,0,Weather
507,6/28/2024 9:20,Delhi,Moderate,Snowy,Potholes,Bicycle,65,4,Brake Failure
508,9/17/2023 6:50,Mumbai,Minor,Windy,Icy,Truck,53,0,Brake Failure
509,1/6/2023 19:16,Ahmedabad,Severe,Foggy,Under Construction,Bus,52,5,Brake Failure
510,8/13/2023 20:15,Pune,Severe,Snowy,Icy,Truck,52,3,Speeding
511,12/23/2024 12:10,Hyderabad,Severe,Rainy,Under Construction,Auto Rickshaw,40,2,Overtaking
512,10/10/2023 9:16,Pune,Moderate,Rainy,Icy,Bus,55,2,Drunk Driving
513,2/6/2024 23:02,Pune,Moderate,Snowy,Potholes,Bus,63,0,Bad Road Condition
514,7/10/2024 2:43,Bangalore,Minor,Clear,Wet,Car,26,5,Speeding
515,3/21/2024 15:59,Pune,Moderate,Foggy,Potholes,Bike,61,1,Weather
516,3/6/2024 18:23,Mumbai,Severe,Snowy,Icy,Truck,44,3,Overtaking
517,12/29/2023 5:25,Kolkata,Minor,Foggy,Wet,Auto Rickshaw,61,4,Red Light Violation
518,7/6/2023 15:43,Hyderabad,Moderate,Clear,Under Construction,Bicycle,65,0,Overtaking
519,2/25/2024 14:49,Chennai,Severe,Snowy,Dry,Bus,22,5,Red Light Violation
520,4/3/2023 20:46,Chennai,Moderate,Snowy,Under Construction,Truck,37,1,Overtaking
521,6/13/2024 9:41,Ahmedabad,Severe,Clear,Potholes,Bicycle,54,1,Weather
522,7/14/2023 0:10,Mumbai,Severe,Snowy,Under Construction,Auto Rickshaw,19,5,Weather
523,2/12/2023 15:26,Kolkata,Moderate,Snowy,Under Construction,Bus,46,5,Drunk Driving
524,5/2/2023 20:14,Chennai,Severe,Foggy,Under Construction,Bicycle,43,3,Speeding
525,9/26/2023 22:19,Pune,Moderate,Snowy,Wet,Bus,36,5,Speeding
526,11/11/2023 7:31,Mumbai,Minor,Snowy,Potholes,Bus,20,2,Overtaking
527,7/11/2023 17:06,Bangalore,Moderate,Rainy,Potholes,Bus,21,0,Overtaking
528,4/12/2024 19:13,Bangalore,Moderate,Windy,Icy,Bike,26,2,Drunk Driving
529,1/4/2024 17:09,Hyderabad,Moderate,Rainy,Wet,Bus,29,0,Weather
530,9/30/2024 13:29,Ahmedabad,Severe,Clear,Under Construction,Truck,19,2,Brake Failure
531,7/28/2023 22:38,Mumbai,Severe,Clear,Potholes,Bus,20,1,Red Light Violation
532,4/2/2023 12:08,Hyderabad,Severe,Rainy,Icy,Bike,19,2,Weather
533,5/4/2023 10:31,Kolkata,Severe,Clear,Dry,Bicycle,33,4,Drunk Driving
534,12/21/2023 9:59,Bangalore,Minor,Clear,Icy,Truck,30,3,Overtaking
535,10/6/2024 16:38,Bangalore,Moderate,Rainy,Potholes,Auto Rickshaw,61,0,Speeding
536,4/12/2023 8:32,Hyderabad,Severe,Snowy,Dry,Bus,54,3,Brake Failure
537,12/7/2024 0:43,Hyderabad,Severe,Windy,Potholes,Bus,44,1,Red Light Violation
538,12/9/2024 15:04,Ahmedabad,Moderate,Rainy,Dry,Auto Rickshaw,50,4,Red Light Violation
539,12/22/2023 10:33,Pune,Moderate,Clear,Potholes,Bike,49,0,Overtaking
540,12/19/2023 14:36,Hyderabad,Moderate,Rainy,Dry,Truck,50,1,Speeding
541,1/7/2024 11:17,Ahmedabad,Moderate,Rainy,Wet,Bike,21,4,Weather
542,3/1/2024 18:54,Pune,Moderate,Snowy,Dry,Auto Rickshaw,18,1,Brake Failure
543,10/1/2023 4:38,Chennai,Minor,Foggy,Wet,Bicycle,20,3,Speeding
544,5/18/2023 14:12,Chennai,Moderate,Foggy,Potholes,Auto Rickshaw,44,2,Red Light Violation
545,5/30/2024 2:30,Delhi,Severe,Rainy,Wet,Bike,37,1,Drunk Driving
546,12/8/2023 13:52,Kolkata,Moderate,Snowy,Icy,Bus,37,4,Red Light Violation
547,10/5/2023 1:21,Delhi,Moderate,Clear,Wet,Truck,35,2,Overtaking
548,7/27/2024 17:07,Mumbai,Minor,Windy,Wet,Auto Rickshaw,48,1,Overtaking
549,4/25/2023 21:01,Ahmedabad,Minor,Windy,Wet,Bicycle,63,5,Weather
550,2/6/2023 12:57,Ahmedabad,Severe,Clear,Potholes,Bicycle,29,2,Speeding
551,9/27/2023 3:08,Ahmedabad,Moderate,Foggy,Icy,Truck,22,1,Drunk Driving
552,1/26/2023 15:09,Chennai,Moderate,Rainy,Dry,Car,50,3,Brake Failure
553,2/14/2024 2:17,Hyderabad,Moderate,Rainy,Wet,Car,43,1,Brake Failure
554,12/16/2024 12:31,Pune,Minor,Snowy,Potholes,Bicycle,45,3,Red Light Violation
555,6/21/2023 9:18,Ahmedabad,Severe,Clear,Wet,Truck,50,3,Speeding
556,3/10/2023 19:16,Hyderabad,Minor,Rainy,Under Construction,Bicycle,34,2,Speeding
557,4/9/2024 7:59,Hyderabad,Minor,Windy,Potholes,Bike,33,0,Bad Road Condition
558,4/17/2024 21:33,Mumbai,Moderate,Windy,Wet,Bike,39,4,Speeding
559,8/20/2024 19:41,Hyderabad,Severe,Windy,Under Construction,Truck,56,2,Overtaking
560,7/14/2023 1:59,Ahmedabad,Severe,Snowy,Dry,Auto Rickshaw,37,1,Drunk Driving
561,9/19/2023 5:06,Chennai,Minor,Snowy,Dry,Auto Rickshaw,53,5,Weather
562,3/14/2023 23:48,Bangalore,Severe,Windy,Dry,Car,21,4,Bad Road Condition
563,11/14/2024 3:04,Chennai,Moderate,Windy,Wet,Bus,35,5,Bad Road Condition
564,4/10/2024 1:08,Kolkata,Severe,Rainy,Under Construction,Auto Rickshaw,39,2,Brake Failure
565,3/8/2024 1:12,Delhi,Minor,Snowy,Icy,Auto Rickshaw,59,0,Weather
566,9/19/2024 4:37,Chennai,Severe,Foggy,Under Construction,Auto Rickshaw,55,4,Drunk Driving
567,5/2/2023 16:35,Kolkata,Severe,Clear,Under Construction,Auto Rickshaw,23,5,Brake Failure
568,10/7/2024 6:53,Mumbai,Minor,Windy,Dry,Auto Rickshaw,37,2,Drunk Driving
569,7/17/2024 11:41,Pune,Moderate,Windy,Wet,Bus,36,3,Drunk Driving
570,6/29/2024 16:36,Delhi,Severe,Clear,Potholes,Car,58,4,Weather
571,12/14/2024 5:10,Delhi,Moderate,Snowy,Icy,Truck,58,5,Speeding
